,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9490481615066528, 0.050951842218637466]","[0.9999098777770996, 9.016389958560467e-05]","[0.9999585151672363, 4.151621396886185e-05]","[0.9999693632125854, 3.0692597647430375e-05]","[0.9999728202819824, 2.719749136304017e-05]",44.95,0.02,0.03,-0.16,0.23,45.06
1,"[0.9496501088142395, 0.05034990608692169]","[0.999911904335022, 8.807384438114241e-05]","[0.9999594688415527, 4.0574490412836894e-05]","[0.9999699592590332, 3.0015891752555035e-05]","[0.9999734163284302, 2.660974678292405e-05]",41.48,-0.08,-0.00,-0.13,-0.08,41.19
2,"[0.9502060413360596, 0.04979399964213371]","[0.9999138116836548, 8.616178092779592e-05]","[0.9999603033065796, 3.9712107536615804e-05]","[0.999970555305481, 2.939568366855383e-05]","[0.9999738931655884, 2.60709275607951e-05]",45.95,0.17,-0.09,-0.12,0.20,46.10
3,"[0.9507203698158264, 0.04927961528301239]","[0.999915599822998, 8.440738747594878e-05]","[0.9999611377716064, 3.8920086808502674e-05]","[0.9999711513519287, 2.8825763365603052e-05]","[0.9999743700027466, 2.557546213211026e-05]",49.61,-0.14,-0.11,-0.27,0.07,49.17
4,"[0.9511972069740295, 0.04880276322364807]","[0.9999171495437622, 8.279308531200513e-05]","[0.9999618530273438, 3.8190635677892715e-05]","[0.9999717473983765, 2.830044468282722e-05]","[0.9999748468399048, 2.5118642952293158e-05]",48.83,0.09,0.08,-0.21,0.25,49.05
5,"[0.951640248298645, 0.048359788954257965]","[0.9999186992645264, 8.13033475424163e-05]","[0.9999624490737915, 3.75168674509041e-05]","[0.9999722242355347, 2.7814896384370513e-05]","[0.999975323677063, 2.4696231776033528e-05]",44.97,-0.19,0.19,0.00,0.09,45.05
6,"[0.9520525336265564, 0.04794750735163689]","[0.9999200105667114, 7.992495375219733e-05]","[0.9999631643295288, 3.689285949803889e-05]","[0.9999725818634033, 2.736490569077432e-05]","[0.9999756813049316, 2.4304643375216983e-05]",53.28,-0.03,-0.02,0.01,0.07,53.31
7,"[0.9524369835853577, 0.04756295680999756]","[0.9999213218688965, 7.864588405936956e-05]","[0.999963641166687, 3.63132894563023e-05]","[0.9999730587005615, 2.6946678190142848e-05]","[0.9999760389328003, 2.394053626630921e-05]",52.98,-0.25,0.13,0.21,-0.04,53.05
8,"[0.9527965188026428, 0.04720354452729225]","[0.999922513961792, 7.745577750029042e-05]","[0.9999642372131348, 3.577341340132989e-05]","[0.9999734163284302, 2.655696516740136e-05]","[0.999976396560669, 2.3601140128448606e-05]",49.12,0.05,-0.06,-0.10,0.21,49.23
9,"[0.9531330466270447, 0.04686690866947174]","[0.9999237060546875, 7.634532812517136e-05]","[0.999964714050293, 3.526933505781926e-05]","[0.9999737739562988, 2.6192812583758496e-05]","[0.9999767541885376, 2.328386835870333e-05]",45.99,0.02,-0.19,-0.01,0.26,46.07
10,"[0.9534490704536438, 0.0465509369969368]","[0.9999246597290039, 7.530656876042485e-05]","[0.9999651908874512, 3.47973000316415e-05]","[0.9999741315841675, 2.5851622922345996e-05]","[0.9999769926071167, 2.298661638633348e-05]",54.72,0.09,0.10,-0.14,0.22,54.99
11,"[0.9537463188171387, 0.04625369608402252]","[0.9999256134033203, 7.433231803588569e-05]","[0.9999656677246094, 3.435415419517085e-05]","[0.9999744892120361, 2.553108788561076e-05]","[0.9999773502349854, 2.2707234165864065e-05]",50.18,-0.15,0.22,0.19,-0.10,50.34
12,"[0.9540265798568726, 0.04597342386841774]","[0.9999265670776367, 7.341589662246406e-05]","[0.999966025352478, 3.3936932595679536e-05]","[0.9999747276306152, 2.522921931813471e-05]","[0.9999775886535645, 2.2444019123213366e-05]",55.03,-0.01,0.16,0.18,0.08,55.44
13,"[0.9542914032936096, 0.045708585530519485]","[0.9999274015426636, 7.255163654917851e-05]","[0.9999665021896362, 3.3543139579705894e-05]","[0.9999750852584839, 2.4944121832959354e-05]","[0.9999778270721436, 2.2195408746483736e-05]",48.51,0.16,-0.23,0.13,0.26,48.84
14,"[0.9545422792434692, 0.045457761734724045]","[0.9999282360076904, 7.173455378506333e-05]","[0.9999668598175049, 3.317045047879219e-05]","[0.999975323677063, 2.4674172891536728e-05]","[0.9999780654907227, 2.1959960577078164e-05]",50.51,0.11,-0.13,-0.18,-0.03,50.27
15,"[0.9547803997993469, 0.045219652354717255]","[0.9999290704727173, 7.096010085660964e-05]","[0.9999672174453735, 3.2816951716085896e-05]","[0.9999755620956421, 2.4417993699898943e-05]","[0.9999783039093018, 2.173645953007508e-05]",56.44,-0.14,0.09,-0.26,0.21,56.34
