,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.2, 0.5]","[0.6, 0.1]","[0.3, 0.4]","[0.5, 0.4]","[0.8, 0.5]",15.80,14.78,4.36,-47.92,-6.51,-19.50
1,"[0.3, 0.2]","[0.5, 0.1]","[0.7, 0.2]","[0.0, 0.1]","[0.7, 0.0]",-80.56,-40.17,-93.10,16.47,47.08,-150.28
2,"[0.8, 0.7]","[0.6, 0.1]","[0.8, 0.5]","[0.6, 0.7]","[0.3, 0.6]",-3.88,-0.44,51.15,3.82,13.10,63.75
3,"[0.5, 0.7]","[0.7, 0.2]","[0.6, 0.0]","[0.6, 0.9]","[0.0, 0.8]",7.77,-28.49,0.05,26.27,15.40,21.00
4,"[0.4, 0.3]","[0.6, 0.9]","[0.8, 0.5]","[0.5, 0.2]","[0.1, 0.4]",-3.54,1.56,-27.69,11.40,6.27,-12.00
5,"[0.2, 0.5]","[0.6, 0.9]","[0.7, 0.8]","[0.2, 0.2]","[0.9, 0.9]",15.06,-0.40,-44.98,2.98,11.06,-16.29
6,"[0.2, 0.5]","[0.2, 0.9]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",16.56,7.87,39.29,10.00,2.64,76.35
7,"[0.2, 0.5]","[0.6, 0.9]","[0.9, 0.0]","[0.5, 0.3]","[0.7, 0.0]",15.31,-0.14,8.69,6.16,7.17,37.20
8,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.4, 0.8]",16.08,29.27,21.53,11.00,-4.84,73.04
9,"[0.4, 0.9]","[0.6, 0.9]","[0.8, 0.5]","[0.2, 0.3]","[0.6, 0.2]",14.58,-43.04,-29.17,44.44,10.45,-2.74
10,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.9, 0.6]",16.65,27.37,21.54,8.92,-24.82,49.66
11,"[0.0, 0.3]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.4, 0.6]",11.78,43.57,18.91,8.98,-3.62,79.62
12,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",14.77,27.30,21.59,10.77,2.45,76.87
13,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",14.71,30.03,20.82,8.99,2.28,76.82
14,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",16.72,32.54,21.36,10.30,2.99,83.92
15,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.1, 0.7]","[0.7, 0.0]",14.36,26.63,19.71,10.46,39.60,110.77
16,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",14.37,26.59,22.48,8.84,2.79,75.07
17,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",17.25,27.25,20.44,10.77,2.97,78.68
18,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",15.91,27.33,22.18,8.82,2.45,76.69
19,"[0.2, 0.5]","[0.7, 0.1]","[0.8, 0.5]","[0.6, 0.9]","[0.7, 0.0]",15.44,29.66,20.48,10.46,2.34,78.38
