,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.2, 0.9]","[0.7, 0.8]","[0.5, 0.2]","[0.3, 0.0]","[0.9, 0.1]",1.00,0.50,41.04,32.59,-1.90,-0.05,59.01,130.68
1,"[0.9, 0.8]","[0.6, 0.8]","[0.7, 0.9]","[0.9, 0.1]","[0.7, 0.2]",0.98,0.50,-90.01,43.74,-95.97,-2.74,37.18,-107.80
2,"[0.6, 0.4]","[0.7, 0.4]","[0.0, 0.5]","[0.3, 0.9]","[0.0, 0.3]",0.95,0.50,5.82,-49.43,9.67,52.86,2.06,20.97
3,"[0.8, 0.7]","[0.2, 0.5]","[0.1, 0.7]","[0.3, 0.0]","[0.8, 0.5]",0.93,0.50,-3.84,45.77,6.80,1.90,-0.39,50.25
4,"[0.7, 0.5]","[0.1, 0.7]","[0.9, 0.3]","[0.3, 0.9]","[0.9, 0.0]",0.90,0.50,6.04,9.56,35.59,38.74,41.03,130.97
5,"[0.2, 0.9]","[0.9, 0.2]","[0.1, 0.5]","[0.9, 0.9]","[0.1, 0.2]",0.88,0.50,43.58,45.09,15.61,15.18,1.47,120.93
6,"[0.3, 0.2]","[0.6, 0.4]","[0.2, 0.4]","[0.0, 0.9]","[0.4, 0.3]",0.85,0.50,-81.08,-2.39,10.48,28.99,3.32,-40.69
7,"[0.2, 0.9]","[0.9, 0.2]","[0.6, 0.6]","[0.6, 0.5]","[0.9, 0.1]",0.81,0.50,42.46,49.01,17.83,-50.36,-20.14,38.80
8,"[0.2, 0.9]","[0.9, 0.2]","[0.7, 0.8]","[0.3, 0.9]","[0.9, 0.0]",0.78,0.50,39.33,53.00,31.15,30.35,39.07,192.90
9,"[0.0, 0.2]","[0.6, 0.6]","[0.7, 0.2]","[0.4, 0.8]","[0.9, 0.0]",0.74,0.50,38.52,0.36,-45.34,24.47,26.57,44.58
10,"[0.9, 0.1]","[0.9, 0.2]","[0.7, 0.8]","[0.7, 0.5]","[0.3, 0.6]",0.70,0.50,4.74,25.76,35.03,-23.33,4.01,46.21
11,"[0.2, 0.9]","[0.4, 0.7]","[0.7, 0.3]","[0.4, 0.2]","[0.8, 0.1]",0.65,0.50,39.27,-50.05,-10.18,13.68,12.87,5.59
12,"[0.1, 0.9]","[0.2, 0.6]","[0.0, 0.0]","[0.3, 0.9]","[0.4, 0.7]",0.60,0.50,62.95,-6.66,-0.14,3.79,-36.71,23.22
13,"[0.9, 0.5]","[0.9, 0.2]","[0.7, 0.8]","[0.1, 0.5]","[0.5, 0.8]",0.54,0.50,56.20,13.72,29.35,24.12,0.58,123.98
14,"[0.5, 0.1]","[0.9, 0.2]","[0.7, 0.8]","[0.3, 0.3]","[0.9, 0.0]",0.48,0.48,24.87,-9.89,34.74,4.41,39.14,93.27
15,"[0.8, 0.6]","[0.7, 0.9]","[0.6, 0.1]","[0.4, 0.9]","[0.9, 0.0]",0.40,0.40,4.31,3.08,-0.99,35.73,28.64,70.77
16,"[0.2, 0.9]","[0.9, 0.2]","[0.6, 0.7]","[0.3, 0.9]","[0.9, 0.0]",0.30,0.30,39.72,47.74,21.35,1.40,38.45,148.65
17,"[0.2, 0.9]","[0.9, 0.2]","[0.7, 0.8]","[0.3, 0.9]","[0.8, 0.4]",0.18,0.18,43.07,51.71,32.89,30.53,26.10,184.30
18,"[0.2, 0.9]","[0.9, 0.2]","[0.7, 0.8]","[0.3, 0.9]","[0.9, 0.0]",0.01,0.01,40.88,44.61,35.22,26.12,37.06,183.89
19,"[0.2, 0.9]","[0.9, 0.2]","[0.7, 0.8]","[0.3, 0.9]","[0.9, 0.0]",0.01,0.01,44.03,51.57,35.04,27.67,42.87,201.17
