,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.1]","[0.3, 0.9]","[0.8, 0.4]","[0.3, 0.4]","[0.3, 0.9]",1.00,0.50,15.94,-54.10,30.89,12.72,16.75,22.20
1,"[0.0, 0.2]","[0.5, 0.9]","[0.6, 0.7]","[0.3, 0.4]","[0.2, 0.3]",0.98,0.50,40.62,8.18,-49.63,9.75,4.11,13.03
2,"[0.5, 0.5]","[0.8, 0.5]","[0.8, 0.4]","[0.2, 0.4]","[0.9, 0.9]",0.95,0.50,1.73,-17.31,-5.97,16.34,2.28,-2.93
3,"[0.4, 0.0]","[0.5, 0.9]","[0.7, 0.1]","[0.8, 0.5]","[0.9, 0.1]",0.93,0.50,14.40,4.80,1.26,19.25,-5.22,34.48
4,"[0.5, 0.1]","[0.0, 0.6]","[0.1, 0.0]","[0.8, 0.5]","[0.4, 0.0]",0.90,0.50,23.05,29.83,-0.24,4.48,-0.33,56.77
5,"[0.8, 0.5]","[0.4, 0.3]","[0.2, 0.3]","[0.2, 0.4]","[0.5, 0.0]",0.88,0.50,13.64,36.70,8.62,-2.43,12.63,69.16
6,"[0.8, 0.0]","[0.0, 0.4]","[0.1, 0.0]","[0.7, 0.3]","[0.3, 0.9]",0.85,0.50,58.00,13.58,-0.27,12.13,27.65,111.08
7,"[0.4, 0.6]","[0.6, 0.2]","[0.8, 0.4]","[0.4, 0.6]","[0.5, 0.3]",0.81,0.50,6.58,-39.71,-1.95,5.64,-82.18,-111.63
8,"[0.9, 0.3]","[0.0, 0.9]","[0.4, 0.4]","[0.2, 0.4]","[0.3, 0.9]",0.78,0.50,29.04,36.43,-0.12,3.99,21.18,90.51
9,"[0.8, 0.0]","[0.7, 0.5]","[0.0, 0.3]","[0.0, 0.0]","[0.3, 0.9]",0.74,0.50,64.62,11.84,57.57,0.14,4.23,138.39
10,"[0.3, 0.8]","[0.4, 0.3]","[0.0, 0.3]","[0.6, 0.3]","[0.3, 0.9]",0.70,0.50,-85.39,-32.29,32.99,39.74,23.35,-21.59
11,"[0.6, 0.4]","[0.1, 0.9]","[0.2, 0.5]","[0.7, 0.7]","[0.4, 0.8]",0.65,0.50,5.32,22.07,-5.37,3.64,3.27,28.93
12,"[0.1, 0.7]","[0.7, 0.5]","[0.3, 0.6]","[0.9, 0.9]","[0.8, 0.5]",0.60,0.50,40.88,76.93,4.44,6.66,3.19,132.09
13,"[0.4, 0.0]","[0.7, 0.5]","[0.7, 0.7]","[0.0, 0.8]","[0.2, 0.6]",0.54,0.50,13.04,6.85,1.60,17.54,-25.75,13.28
14,"[0.8, 0.0]","[0.7, 0.5]","[0.7, 0.3]","[0.6, 0.3]","[0.3, 0.9]",0.48,0.48,65.80,13.65,-36.86,-14.24,23.84,52.18
15,"[0.6, 0.1]","[0.9, 0.1]","[0.0, 0.3]","[0.9, 0.3]","[0.5, 0.7]",0.40,0.40,54.95,-41.51,10.88,-17.34,20.14,27.12
16,"[0.5, 0.6]","[0.0, 0.3]","[0.4, 0.7]","[0.7, 0.0]","[0.3, 0.9]",0.30,0.30,1.87,43.80,13.78,13.71,69.35,142.50
17,"[0.8, 0.0]","[0.2, 0.6]","[0.0, 0.3]","[0.7, 0.5]","[0.3, 0.9]",0.18,0.18,63.71,33.17,41.72,12.18,12.60,163.37
18,"[0.8, 0.0]","[0.7, 0.5]","[0.0, 0.3]","[0.0, 0.8]","[0.3, 0.9]",0.01,0.01,63.46,11.65,52.56,32.79,-97.33,63.14
19,"[0.8, 0.0]","[0.7, 0.5]","[0.0, 0.3]","[0.0, 0.8]","[0.3, 0.9]",0.01,0.01,67.26,12.30,47.43,30.59,-100.22,57.36
