,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.1, 0.4]","[0.0, 0.1]","[0.3, 0.4]","[0.3, 0.7]","[0.8, 0.0]",1.00,0.50,10.57,8.00,18.85,9.44,31.07,77.93
1,"[0.8, 0.0]","[0.0, 0.1]","[0.2, 0.0]","[0.2, 0.1]","[0.3, 0.0]",0.98,0.50,61.70,25.58,0.24,-5.56,0.83,82.80
2,"[0.5, 0.8]","[0.6, 0.3]","[0.3, 0.7]","[0.9, 0.0]","[0.2, 0.7]",0.95,0.50,23.13,-38.45,11.51,41.33,54.16,91.67
3,"[0.9, 0.1]","[0.0, 0.9]","[0.3, 0.4]","[0.4, 0.9]","[0.9, 0.9]",0.93,0.50,4.47,99.43,-23.15,38.01,33.18,151.93
4,"[0.3, 0.5]","[0.6, 0.1]","[0.0, 0.4]","[0.8, 0.4]","[0.6, 0.9]",0.90,0.50,56.92,2.11,10.79,25.08,16.20,111.10
5,"[0.8, 0.0]","[0.5, 0.1]","[0.6, 0.5]","[0.5, 0.6]","[0.5, 0.7]",0.88,0.50,58.85,11.92,53.22,-4.32,-15.45,104.21
6,"[0.6, 0.9]","[0.4, 0.2]","[0.6, 0.5]","[0.6, 0.3]","[0.2, 0.7]",0.85,0.50,15.46,-1.39,26.49,-65.12,15.61,-8.93
7,"[0.5, 0.7]","[0.5, 0.5]","[0.2, 0.6]","[0.4, 0.4]","[0.1, 0.1]",0.81,0.50,8.02,-75.70,3.62,-100.51,6.60,-157.97
8,"[0.8, 0.0]","[0.8, 0.2]","[0.0, 0.8]","[0.9, 0.6]","[0.1, 0.0]",0.78,0.50,68.91,-6.63,45.50,-16.45,0.15,91.48
9,"[0.3, 0.3]","[0.3, 0.9]","[0.0, 0.5]","[0.0, 0.7]","[0.8, 0.4]",0.74,0.50,-10.89,14.55,5.45,11.64,35.22,55.96
10,"[0.8, 0.9]","[0.0, 0.9]","[0.8, 0.2]","[0.0, 0.5]","[0.2, 0.7]",0.70,0.50,-1.60,23.65,57.00,15.81,1.58,96.44
11,"[0.2, 0.9]","[0.1, 0.1]","[0.8, 0.2]","[0.5, 0.0]","[0.2, 0.8]",0.65,0.50,41.30,0.12,60.71,-0.06,66.82,168.89
12,"[0.3, 0.9]","[0.0, 0.9]","[0.8, 0.2]","[0.9, 0.4]","[0.2, 0.8]",0.60,0.50,7.62,21.22,59.28,-1.02,18.83,105.94
13,"[0.3, 0.6]","[0.8, 0.9]","[0.4, 0.9]","[0.9, 0.0]","[0.4, 0.5]",0.54,0.50,22.68,2.71,12.50,25.25,21.57,84.71
14,"[0.2, 0.6]","[0.0, 0.9]","[0.6, 0.5]","[0.9, 0.0]","[0.2, 0.8]",0.48,0.48,16.12,11.25,35.52,7.16,117.53,187.58
15,"[0.5, 0.5]","[0.0, 0.9]","[0.8, 0.2]","[0.4, 0.9]","[0.2, 0.8]",0.40,0.40,1.74,17.34,57.24,55.11,2.80,134.23
16,"[0.9, 0.2]","[0.0, 0.9]","[0.8, 0.7]","[0.4, 0.9]","[0.2, 0.8]",0.30,0.30,-18.97,65.74,44.98,6.28,3.68,101.71
17,"[0.8, 0.0]","[0.0, 0.9]","[0.8, 0.2]","[0.4, 0.9]","[0.2, 0.8]",0.18,0.18,58.64,83.40,54.20,53.27,3.70,253.20
18,"[0.8, 0.0]","[0.9, 0.0]","[0.8, 0.2]","[0.4, 0.9]","[0.2, 0.8]",0.01,0.01,62.19,-0.15,22.53,51.73,2.95,139.25
19,"[0.8, 0.0]","[0.0, 0.9]","[0.8, 0.2]","[0.4, 0.9]","[0.2, 0.8]",0.01,0.01,66.62,80.54,51.42,54.52,2.76,255.85
