,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.8]","[0.9, 0.1]","[0.5, 0.6]","[0.2, 0.7]","[0.4, 0.1]",1.00,0.50,22.44,14.91,22.30,3.84,-16.29,47.19
1,"[0.1, 0.1]","[0.3, 0.1]","[0.3, 0.4]","[0.2, 0.9]","[0.0, 0.5]",0.98,0.50,15.16,-48.89,3.04,16.13,6.13,-8.43
2,"[0.0, 0.6]","[0.6, 0.1]","[0.3, 0.6]","[0.9, 0.2]","[0.0, 0.5]",0.95,0.50,34.39,33.56,17.16,46.56,13.98,145.64
3,"[0.0, 0.1]","[0.3, 0.1]","[0.9, 0.9]","[0.2, 0.9]","[0.5, 0.1]",0.93,0.50,27.48,-58.24,46.60,20.20,7.87,43.92
4,"[0.4, 0.5]","[0.0, 0.4]","[0.1, 0.4]","[0.6, 0.6]","[0.4, 0.0]",0.90,0.50,14.20,39.53,8.03,2.19,-0.26,63.68
5,"[0.0, 0.6]","[0.6, 0.2]","[0.3, 0.4]","[0.0, 0.2]","[0.2, 0.9]",0.88,0.50,41.43,45.34,2.62,36.71,7.56,133.65
6,"[0.6, 0.0]","[0.5, 0.1]","[0.6, 0.4]","[0.5, 0.6]","[0.9, 0.2]",0.85,0.50,40.06,-21.24,21.58,2.81,3.80,47.01
7,"[0.0, 0.6]","[0.5, 0.8]","[0.8, 0.1]","[0.9, 0.2]","[0.0, 0.5]",0.81,0.50,38.97,1.06,6.21,-18.88,16.46,43.83
8,"[0.0, 0.6]","[0.0, 0.8]","[0.3, 0.2]","[0.3, 0.2]","[0.8, 0.5]",0.78,0.50,39.31,11.04,-24.12,-42.95,1.18,-15.54
9,"[0.3, 0.3]","[0.8, 0.1]","[0.2, 0.2]","[0.4, 0.0]","[0.8, 0.6]",0.74,0.50,-11.51,31.44,45.66,5.41,-0.44,70.56
10,"[0.9, 0.8]","[0.6, 0.2]","[0.1, 0.6]","[0.0, 0.2]","[0.2, 0.0]",0.70,0.50,-90.47,2.80,19.81,14.60,-0.04,-53.30
11,"[0.0, 0.6]","[0.1, 0.6]","[0.9, 0.9]","[0.9, 0.1]","[0.0, 0.5]",0.65,0.50,41.12,8.17,19.16,0.08,20.81,89.34
12,"[0.5, 0.2]","[0.0, 0.4]","[0.2, 0.2]","[0.7, 0.9]","[0.0, 0.5]",0.60,0.50,16.69,9.58,-28.20,19.43,6.55,24.05
13,"[0.2, 0.4]","[0.6, 0.1]","[0.9, 0.9]","[0.0, 0.2]","[0.0, 0.5]",0.54,0.50,9.51,14.87,-58.15,1.45,16.44,-15.88
14,"[0.0, 0.6]","[0.6, 0.1]","[0.5, 0.8]","[0.2, 0.9]","[0.0, 0.5]",0.48,0.48,34.75,38.39,7.53,22.50,6.33,109.50
15,"[0.0, 0.6]","[0.0, 0.9]","[0.5, 0.6]","[0.2, 0.9]","[0.7, 0.6]",0.40,0.40,39.97,13.08,17.64,4.93,33.99,109.60
16,"[0.0, 0.6]","[0.6, 0.9]","[0.5, 0.6]","[0.6, 0.6]","[0.8, 0.7]",0.30,0.30,34.52,4.55,-9.43,-58.38,-28.17,-56.90
17,"[0.0, 0.6]","[0.6, 0.1]","[0.6, 0.4]","[0.2, 0.9]","[0.7, 0.6]",0.18,0.18,39.07,37.67,7.66,22.27,33.83,140.49
18,"[0.0, 0.6]","[0.6, 0.1]","[0.6, 0.4]","[0.2, 0.9]","[0.7, 0.6]",0.01,0.01,35.46,38.05,7.31,18.13,28.16,127.12
19,"[0.0, 0.6]","[0.6, 0.1]","[0.6, 0.4]","[0.2, 0.9]","[0.7, 0.6]",0.01,0.01,40.47,36.38,7.18,17.90,28.01,129.94
