,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.3, 0.4]","[0.7, 0.8]","[0.2, 0.2]","[0.9, 0.4]","[0.7, 0.2]",1.00,0.50,42.43,-0.56,3.11,15.97,31.42,92.37
1,"[0.4, 0.5]","[0.1, 0.4]","[0.1, 0.8]","[0.8, 0.6]","[0.3, 0.6]",1.00,0.50,14.94,31.83,13.42,52.98,13.80,126.97
2,"[0.7, 0.5]","[0.5, 0.3]","[0.0, 0.0]","[0.1, 0.2]","[0.7, 0.2]",0.82,0.50,6.18,-1.35,-0.14,16.52,79.01,100.22
3,"[0.3, 0.2]","[0.1, 0.1]","[0.1, 0.3]","[0.8, 0.6]","[0.5, 0.9]",0.70,0.50,-80.02,11.59,4.99,6.91,5.02,-51.52
4,"[0.9, 0.3]","[0.6, 0.7]","[0.1, 0.3]","[0.6, 0.6]","[0.3, 0.5]",0.60,0.50,26.01,19.15,20.72,0.27,10.46,76.63
5,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.7, 0.2]",0.52,0.50,58.33,12.67,6.13,8.57,-0.74,84.96
6,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.1, 0.1]",0.46,0.46,65.68,12.57,6.51,7.17,3.90,95.83
7,"[0.0, 0.7]","[0.9, 0.8]","[0.1, 0.3]","[0.4, 0.6]","[0.1, 0.6]",0.40,0.40,62.85,-0.24,9.04,28.28,14.28,114.21
8,"[0.0, 0.7]","[0.4, 0.0]","[0.4, 0.4]","[0.8, 0.6]","[0.7, 0.2]",0.35,0.35,70.24,12.53,12.82,0.11,-0.49,95.22
9,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.9, 0.4]","[0.7, 0.2]",0.30,0.30,58.77,12.50,5.27,21.98,28.96,127.48
10,"[0.0, 0.7]","[0.0, 0.3]","[0.1, 0.3]","[0.8, 0.6]","[0.7, 0.2]",0.26,0.26,59.84,20.34,15.05,7.36,-0.61,101.97
11,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.9, 0.3]",0.22,0.22,68.04,10.83,6.27,8.14,-14.87,78.40
12,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.6, 0.9]","[0.7, 0.2]",0.19,0.19,66.01,11.30,6.08,-0.29,-8.76,74.34
13,"[0.0, 0.7]","[0.8, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.7, 0.2]",0.15,0.15,68.44,61.29,7.99,7.31,-0.34,144.69
14,"[0.6, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.0, 0.9]",0.12,0.12,16.45,-0.30,6.46,8.32,10.97,41.89
15,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.7, 0.2]",0.10,0.10,59.02,10.35,5.88,6.93,-0.49,81.68
16,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.7, 0.2]",0.07,0.07,63.26,11.84,5.25,7.36,-0.69,87.01
17,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.3, 0.6]",0.05,0.05,68.72,11.90,6.48,7.32,13.46,107.88
18,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.3, 0.6]",0.02,0.02,61.13,11.27,6.72,7.33,14.74,101.19
19,"[0.0, 0.7]","[0.4, 0.0]","[0.1, 0.3]","[0.8, 0.6]","[0.3, 0.6]",0.01,0.01,63.62,12.30,5.80,8.58,14.70,104.99
