,action1,action2,action3,action4,action5,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9, 0.4]","[0.2, 0.8]","[0.5, 0.2]","[0.5, 0.0]","[0.4, 0.2]",50.47,20.08,-0.10,1.55,-23.15,48.84
1,"[0.9, 0.4]","[0.2, 0.5]","[0.0, 0.2]","[0.8, 0.0]","[0.7, 0.5]",48.60,9.45,29.68,65.18,13.80,166.71
2,"[0.8, 0.9]","[0.2, 0.1]","[0.0, 0.2]","[0.8, 0.0]","[0.7, 0.5]",-1.60,0.30,44.17,57.23,12.32,112.40
3,"[0.6, 0.8]","[0.2, 0.8]","[0.7, 0.2]","[0.8, 0.0]","[0.7, 0.5]",50.49,32.61,30.31,1.15,13.19,127.75
4,"[0.1, 0.2]","[0.2, 0.8]","[0.5, 0.0]","[0.5, 0.0]","[0.7, 0.5]",19.26,15.82,12.30,1.73,35.53,84.64
5,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",51.83,18.45,4.17,55.11,97.14,226.69
6,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",48.18,20.63,4.45,63.63,98.01,234.89
7,"[0.5, 0.2]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",17.03,26.21,4.34,64.27,93.85,205.70
8,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",56.11,18.34,3.69,63.00,106.27,247.42
9,"[0.9, 0.4]","[0.9, 0.4]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",57.59,10.00,37.28,64.01,107.90,276.79
10,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",54.76,22.58,4.37,57.81,95.40,234.92
11,"[0.9, 0.4]","[0.2, 0.8]","[0.4, 0.5]","[0.2, 0.4]","[0.2, 0.8]",57.66,19.72,-75.13,10.30,11.64,24.19
12,"[0.9, 0.4]","[0.1, 0.3]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",52.65,45.44,46.16,58.70,95.32,298.27
13,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",51.03,20.68,4.53,64.18,102.56,242.98
14,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.6, 0.9]",56.55,22.24,3.31,64.73,58.73,205.57
15,"[0.9, 0.4]","[0.1, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",56.12,22.57,4.10,63.13,95.88,241.80
16,"[0.9, 0.4]","[0.2, 0.8]","[0.9, 0.7]","[0.8, 0.0]","[0.2, 0.7]",49.76,22.61,63.67,-0.26,51.16,186.93
17,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",51.60,21.03,4.20,56.71,111.02,244.56
18,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",53.59,18.62,3.85,64.97,108.09,249.12
19,"[0.9, 0.4]","[0.2, 0.8]","[0.0, 0.2]","[0.8, 0.0]","[0.2, 0.8]",54.29,19.14,4.11,54.75,109.75,242.04
