,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.5, 0.5]","[0.3, 0.7]","[0.7, 0.1]","[0.3, 0.8]","[0.2, 0.9]",1.00,0.50,1.71,2.66,18.71,51.66,3.95,78.68
1,"[0.5, 0.5]","[0.6, 0.3]","[0.4, 0.6]","[0.8, 0.8]","[0.2, 0.2]",0.98,0.50,2.00,-99.27,6.29,0.24,3.04,-87.70
2,"[0.4, 0.8]","[0.8, 0.7]","[0.0, 0.3]","[0.0, 0.8]","[0.4, 0.6]",0.95,0.50,-32.76,11.55,20.12,33.52,-36.26,-3.83
3,"[0.7, 0.0]","[0.1, 0.0]","[0.3, 0.7]","[0.2, 0.0]","[0.4, 0.8]",0.93,0.50,49.11,-0.05,-23.52,-0.11,-93.56,-68.13
4,"[0.1, 0.1]","[0.9, 0.5]","[0.4, 0.9]","[0.9, 0.5]","[0.2, 0.2]",0.90,0.50,15.35,15.21,14.77,25.91,24.32,95.55
5,"[0.1, 0.2]","[0.5, 0.0]","[0.5, 0.8]","[0.3, 0.8]","[0.6, 0.9]",0.88,0.50,21.01,15.00,-42.89,-1.27,-29.53,-37.68
6,"[0.7, 0.8]","[0.8, 0.9]","[0.3, 0.6]","[0.3, 0.8]","[0.0, 0.6]",0.85,0.50,38.77,-59.49,6.62,-2.18,40.62,24.34
7,"[0.2, 0.0]","[0.2, 0.3]","[0.8, 0.0]","[0.3, 0.8]","[0.0, 0.5]",0.81,0.50,2.79,-1.18,43.74,91.69,26.10,163.14
8,"[0.3, 0.7]","[0.9, 0.3]","[0.0, 0.0]","[0.0, 0.8]","[0.6, 0.4]",0.78,0.50,-34.88,51.58,0.11,122.61,39.77,179.18
9,"[0.4, 0.8]","[0.5, 0.9]","[0.9, 0.4]","[0.3, 0.3]","[0.8, 0.7]",0.74,0.50,-36.56,-95.97,12.10,47.23,-0.47,-73.66
10,"[0.7, 0.0]","[0.9, 0.3]","[0.1, 0.6]","[0.8, 0.0]","[0.0, 0.6]",0.70,0.50,47.79,-10.55,15.11,51.28,31.53,135.16
11,"[0.7, 0.0]","[0.9, 0.7]","[0.1, 0.6]","[0.9, 0.8]","[0.6, 0.4]",0.65,0.50,54.53,-21.88,52.46,19.02,13.26,117.39
12,"[0.2, 0.0]","[0.9, 0.3]","[0.1, 0.6]","[0.8, 0.7]","[0.3, 0.6]",0.60,0.50,2.98,18.70,15.13,18.41,37.93,93.15
13,"[0.2, 0.5]","[0.9, 0.3]","[0.5, 0.1]","[0.5, 0.8]","[0.6, 0.7]",0.54,0.50,16.33,64.73,9.40,-21.39,-107.87,-38.80
14,"[0.2, 0.2]","[0.8, 0.5]","[0.7, 0.4]","[0.0, 0.8]","[0.0, 0.6]",0.48,0.48,-24.83,5.29,2.04,19.98,40.31,42.79
15,"[0.6, 0.1]","[0.9, 0.3]","[0.3, 0.3]","[0.2, 0.3]","[0.0, 0.6]",0.40,0.40,53.31,-26.46,30.67,1.32,17.61,76.45
16,"[0.7, 0.0]","[0.8, 0.5]","[0.3, 0.8]","[0.0, 0.8]","[0.4, 0.3]",0.30,0.30,50.16,22.05,11.70,52.93,-7.44,129.39
17,"[0.7, 0.0]","[0.9, 0.3]","[0.1, 0.6]","[0.0, 0.7]","[0.0, 0.6]",0.18,0.18,54.18,-11.72,16.45,10.65,50.07,119.62
18,"[0.7, 0.0]","[0.9, 0.3]","[0.1, 0.6]","[0.0, 0.8]","[0.0, 0.6]",0.01,0.01,48.44,-11.86,17.44,10.63,36.12,100.78
19,"[0.7, 0.0]","[0.9, 0.3]","[0.1, 0.6]","[0.0, 0.8]","[0.0, 0.6]",0.01,0.01,49.66,-11.53,15.93,10.13,36.68,100.87
