,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.6, 0.6]","[0.9, 0.3]","[0.4, 0.4]","[0.4, 0.6]","[0.2, 0.7]",1.00,0.50,1.84,-68.56,9.10,7.43,1.52,-48.66
1,"[0.2, 0.3]","[0.4, 0.8]","[0.2, 0.9]","[0.7, 0.9]","[0.4, 0.1]",0.98,0.50,-1.63,35.18,14.89,36.89,-0.39,84.94
2,"[0.8, 0.6]","[0.7, 0.0]","[0.9, 0.2]","[0.8, 0.4]","[0.6, 0.2]",0.95,0.50,5.01,-0.37,-72.59,4.96,10.80,-52.19
3,"[0.6, 0.1]","[0.3, 0.3]","[0.8, 0.1]","[0.2, 0.9]","[0.3, 0.8]",0.93,0.50,57.60,1.71,30.26,105.42,-30.22,164.76
4,"[0.1, 0.8]","[0.4, 0.8]","[0.0, 0.0]","[0.7, 0.5]","[0.6, 0.2]",0.90,0.50,70.18,-89.76,-0.19,3.26,-11.99,-28.49
5,"[0.7, 0.9]","[0.0, 0.4]","[0.7, 0.0]","[0.1, 0.5]","[0.5, 0.0]",0.88,0.50,8.51,4.60,49.96,19.13,15.44,97.64
6,"[0.0, 0.0]","[0.3, 0.6]","[0.7, 0.0]","[0.4, 0.8]","[0.9, 0.9]",0.85,0.50,2.52,17.53,21.48,66.47,39.51,147.51
7,"[0.8, 0.8]","[0.5, 0.4]","[0.1, 0.6]","[0.4, 0.9]","[0.8, 0.7]",0.81,0.50,-12.19,5.81,8.22,12.92,13.34,28.10
8,"[0.1, 0.8]","[0.5, 0.7]","[0.4, 0.4]","[0.2, 0.9]","[0.5, 0.8]",0.78,0.50,74.07,-7.99,-25.96,18.22,-15.71,42.62
9,"[0.0, 0.3]","[0.2, 0.2]","[0.9, 0.2]","[0.2, 0.9]","[0.7, 0.6]",0.74,0.50,11.84,-28.80,63.51,74.04,29.97,150.56
10,"[0.9, 0.0]","[0.3, 0.6]","[0.7, 0.2]","[0.2, 0.9]","[0.9, 0.9]",0.70,0.50,81.81,31.10,16.69,56.96,48.11,234.67
11,"[0.1, 0.8]","[0.3, 0.6]","[0.7, 0.0]","[0.5, 0.8]","[0.9, 0.9]",0.65,0.50,77.96,-73.43,23.64,43.02,-10.36,60.83
12,"[0.1, 0.8]","[0.5, 0.4]","[0.5, 0.0]","[0.2, 0.9]","[0.2, 0.6]",0.60,0.50,80.42,4.23,1.02,67.75,-3.73,149.68
13,"[0.4, 0.6]","[0.9, 0.7]","[0.7, 0.0]","[0.8, 0.8]","[0.7, 0.6]",0.54,0.50,7.47,6.62,-0.31,-28.65,2.18,-12.70
14,"[0.9, 0.3]","[0.1, 0.9]","[0.0, 0.8]","[0.2, 0.9]","[0.2, 0.5]",0.48,0.48,27.63,38.34,15.49,-32.57,-3.17,45.72
15,"[0.1, 0.1]","[0.7, 0.4]","[0.5, 0.9]","[0.4, 0.8]","[0.8, 0.3]",0.40,0.40,15.36,5.58,13.32,-14.93,13.44,32.77
16,"[0.1, 0.8]","[0.3, 0.0]","[0.3, 0.3]","[0.5, 0.8]","[0.9, 0.9]",0.30,0.30,79.50,2.41,-5.24,24.97,-9.44,92.21
17,"[0.1, 0.8]","[0.1, 0.9]","[0.7, 0.7]","[0.5, 0.8]","[0.7, 0.6]",0.18,0.18,71.75,27.83,45.97,-2.36,-70.44,72.74
18,"[0.1, 0.8]","[0.1, 0.9]","[0.1, 0.8]","[0.5, 0.8]","[0.5, 0.0]",0.01,0.01,81.27,27.02,9.26,-10.31,1.71,108.95
19,"[0.1, 0.8]","[0.1, 0.9]","[0.7, 0.0]","[0.5, 0.8]","[0.5, 0.0]",0.01,0.01,71.46,30.49,40.09,44.94,1.32,188.30
