,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.7, 0.4]","[0.2, 0.2]","[0.4, 0.9]","[0.9, 0.8]","[0.5, 0.9]",1.00,0.50,10.68,32.97,-54.92,29.45,41.00,59.19
1,"[0.5, 0.9]","[0.2, 0.1]","[0.4, 0.6]","[0.0, 0.1]","[0.7, 0.3]",0.98,0.50,19.10,-0.39,44.82,4.04,22.75,90.32
2,"[0.1, 0.3]","[0.7, 0.3]","[0.0, 0.9]","[0.8, 0.6]","[0.0, 0.6]",0.95,0.50,5.38,44.09,40.13,46.42,20.85,156.88
3,"[0.8, 0.0]","[0.4, 0.7]","[0.0, 0.4]","[0.7, 0.9]","[0.9, 0.6]",0.93,0.50,60.94,48.21,40.21,1.33,-30.71,119.98
4,"[0.8, 0.0]","[0.1, 0.3]","[0.3, 0.0]","[0.8, 0.6]","[0.1, 0.6]",0.90,0.50,61.87,8.77,1.90,-0.81,18.48,90.21
5,"[0.0, 0.0]","[0.4, 0.7]","[0.0, 0.2]","[0.6, 0.6]","[0.5, 0.6]",0.88,0.50,2.92,-15.14,8.84,0.61,-14.97,-17.72
6,"[0.0, 0.9]","[0.4, 0.6]","[0.9, 0.1]","[0.0, 0.2]","[0.5, 0.9]",0.85,0.50,89.94,-7.53,25.22,47.44,6.91,161.99
7,"[0.3, 0.1]","[0.9, 0.2]","[0.4, 0.6]","[0.2, 0.5]","[0.0, 0.7]",0.81,0.50,-73.42,69.69,18.08,11.61,12.75,38.71
8,"[0.1, 0.8]","[0.2, 0.7]","[0.3, 0.1]","[0.2, 0.0]","[0.3, 0.9]",0.78,0.50,69.90,-20.24,-7.91,-0.47,26.35,67.63
9,"[0.3, 0.0]","[0.6, 0.7]","[0.0, 0.8]","[0.7, 0.4]","[0.5, 0.9]",0.74,0.50,5.89,-8.86,17.86,51.44,15.31,81.64
10,"[0.4, 0.6]","[0.1, 0.3]","[0.5, 0.6]","[0.4, 0.1]","[0.5, 0.9]",0.70,0.50,7.61,29.38,0.75,-5.84,-68.78,-36.88
11,"[0.1, 0.8]","[0.9, 0.9]","[0.1, 0.1]","[0.7, 0.4]","[0.3, 0.9]",0.65,0.50,69.01,19.61,0.43,6.15,18.58,113.78
12,"[0.4, 0.0]","[0.9, 0.2]","[0.2, 0.4]","[0.0, 0.2]","[0.9, 0.3]",0.60,0.50,14.37,34.91,8.12,40.81,-0.50,97.71
13,"[0.1, 0.8]","[0.0, 0.8]","[0.5, 0.4]","[0.0, 0.2]","[0.9, 0.6]",0.54,0.50,70.54,49.64,17.03,35.42,50.94,223.57
14,"[0.1, 0.8]","[0.1, 0.9]","[0.4, 0.6]","[0.0, 0.2]","[0.5, 0.7]",0.48,0.48,76.64,30.56,-24.71,15.00,-1.03,96.45
15,"[0.1, 0.8]","[0.9, 0.2]","[0.9, 0.2]","[0.7, 0.0]","[0.9, 0.6]",0.40,0.40,75.72,58.08,32.38,-0.01,16.71,182.87
16,"[0.1, 0.8]","[0.9, 0.2]","[0.6, 0.1]","[0.0, 0.2]","[0.9, 0.6]",0.30,0.30,69.07,50.84,12.84,46.59,53.29,232.62
17,"[0.4, 0.4]","[0.2, 0.3]","[0.0, 0.4]","[0.0, 0.2]","[0.9, 0.6]",0.18,0.18,10.30,13.43,10.26,38.75,47.80,120.54
18,"[0.1, 0.8]","[0.9, 0.2]","[0.0, 0.9]","[0.0, 0.2]","[0.9, 0.6]",0.01,0.01,69.62,48.75,78.70,1.69,53.19,251.95
19,"[0.1, 0.8]","[0.9, 0.2]","[0.0, 0.9]","[0.0, 0.2]","[0.9, 0.6]",0.01,0.01,71.67,55.95,69.07,1.67,52.41,250.77
