,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9, 0.2]","[0.4, 0.5]","[0.6, 0.0]","[0.5, 0.6]","[0.4, 0.0]",1.00,0.50,-20.87,11.01,6.79,16.39,0.01,13.33
1,"[0.7, 0.4]","[0.2, 0.9]","[0.9, 0.3]","[0.0, 0.4]","[0.6, 0.1]",0.98,0.50,11.19,24.39,43.23,11.86,33.46,124.12
2,"[0.3, 0.8]","[0.0, 0.0]","[0.3, 0.1]","[0.5, 0.6]","[0.6, 0.5]",0.95,0.50,-75.05,-0.22,-77.15,35.57,-89.75,-206.61
3,"[0.0, 0.5]","[0.8, 0.3]","[0.5, 0.4]","[0.9, 0.7]","[0.2, 0.4]",0.93,0.50,24.59,30.75,3.21,0.64,41.39,100.58
4,"[0.4, 0.8]","[0.4, 0.8]","[0.1, 0.4]","[0.6, 0.1]","[0.7, 0.4]",0.90,0.50,-31.56,-60.24,11.85,27.21,15.61,-37.14
5,"[0.0, 0.5]","[0.8, 0.3]","[0.4, 0.5]","[0.5, 0.6]","[0.9, 0.1]",0.88,0.50,26.91,27.71,5.75,-13.73,10.68,57.32
6,"[0.0, 0.5]","[0.8, 0.3]","[0.2, 0.1]","[0.2, 0.1]","[0.7, 0.9]",0.85,0.50,24.99,28.76,9.36,-5.13,41.86,99.84
7,"[0.6, 0.4]","[0.2, 0.1]","[0.6, 0.5]","[0.3, 0.0]","[0.7, 0.9]",0.81,0.50,5.54,5.38,-0.50,-0.47,13.82,23.77
8,"[0.7, 0.8]","[0.8, 0.3]","[0.2, 0.4]","[0.4, 0.6]","[0.4, 0.9]",0.78,0.50,43.14,-20.16,8.01,21.10,6.79,58.89
9,"[0.2, 0.7]","[0.2, 0.9]","[0.6, 0.8]","[0.9, 0.1]","[0.2, 0.4]",0.74,0.50,12.61,-2.98,13.04,-2.19,10.54,31.01
10,"[0.7, 0.6]","[0.7, 0.1]","[0.9, 0.3]","[0.3, 0.5]","[0.7, 0.3]",0.70,0.50,2.43,-7.01,-25.57,8.37,18.39,-3.39
11,"[0.0, 0.5]","[0.4, 0.5]","[0.6, 0.8]","[0.4, 0.2]","[0.3, 0.5]",0.65,0.50,25.05,-17.59,26.34,-2.61,5.30,36.48
12,"[0.0, 0.5]","[0.9, 0.0]","[0.6, 0.8]","[0.1, 0.0]","[0.7, 0.4]",0.60,0.50,26.87,68.29,84.82,-0.13,4.77,184.61
13,"[0.0, 0.5]","[0.8, 0.0]","[0.0, 0.9]","[0.6, 0.1]","[0.7, 0.9]",0.54,0.50,29.33,64.42,88.28,38.10,-66.74,153.40
14,"[0.9, 0.8]","[0.6, 0.2]","[0.6, 0.8]","[0.1, 0.7]","[0.6, 0.1]",0.48,0.48,-88.12,2.83,7.23,48.03,28.47,-1.56
15,"[0.0, 0.5]","[0.9, 0.0]","[0.2, 0.2]","[0.6, 0.1]","[0.6, 0.1]",0.40,0.40,27.16,82.64,36.10,14.43,-32.09,128.24
16,"[0.7, 0.9]","[0.1, 0.8]","[0.0, 0.2]","[0.1, 0.7]","[0.2, 0.4]",0.30,0.30,9.27,13.31,3.76,18.09,-15.86,28.57
17,"[0.6, 0.4]","[0.8, 0.9]","[0.0, 0.9]","[0.1, 0.7]","[0.7, 0.3]",0.18,0.18,5.93,41.66,21.00,4.29,52.38,125.27
18,"[0.0, 0.5]","[0.9, 0.0]","[0.0, 0.9]","[0.6, 0.1]","[0.7, 0.3]",0.01,0.01,25.25,81.88,82.57,38.33,-26.17,201.86
19,"[0.0, 0.5]","[0.9, 0.0]","[0.0, 0.9]","[0.6, 0.1]","[0.7, 0.3]",0.01,0.01,26.93,70.36,81.28,36.72,-27.98,187.31
