run,rewards,policy
0,0.5028420157074811,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
1,0.5690810741632755,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
2,0.5168621100009166,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
3,0.4949793945824922,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
4,0.6188193455425599,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
5,0.5516610140612712,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
6,0.5903001262805397,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
7,0.4709934668421412,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
8,0.5882429595397838,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
9,0.5579497992478792,"{'1': (0, 0), '2': (0, 0), '3': (0, 0), '4': (0, 0), '5': (0, 0)}"
