run,rewards,policy
0,163.8027940065781,"{'1': [0.3, 0.5], '2': [0.7, 0.7], '3': [0.2, 0.6], '4': [0.8, 0.6], '5': [0.3, 0.4]}"
1,110.42445244266169,"{'1': [0.1, 0.7], '2': [0.6, 0.6], '3': [0.4, 0.9], '4': [0.1, 0.9], '5': [0.4, 0.0]}"
2,183.61857253559026,"{'1': [0.7, 0.0], '2': [0.3, 0.9], '3': [0.0, 0.8], '4': [0.2, 0.2], '5': [0.8, 0.1]}"
3,135.5868511157123,"{'1': [0.3, 0.4], '2': [0.5, 0.7], '3': [0.1, 0.5], '4': [0.5, 0.1], '5': [0.4, 0.9]}"
4,289.16193286073764,"{'1': [0.0, 0.8], '2': [0.8, 0.8], '3': [0.8, 0.0], '4': [0.0, 0.9], '5': [0.6, 0.9]}"
5,206.13577283721193,"{'1': [0.8, 0.2], '2': [0.1, 0.9], '3': [0.9, 0.3], '4': [0.0, 0.3], '5': [0.1, 0.8]}"
6,154.16791249876803,"{'1': [0.9, 0.4], '2': [0.8, 0.4], '3': [0.1, 0.9], '4': [0.8, 0.0], '5': [0.1, 0.3]}"
7,295.49553761073014,"{'1': [0.0, 0.8], '2': [0.1, 0.9], '3': [0.9, 0.2], '4': [0.8, 0.1], '5': [0.4, 0.9]}"
8,232.5167775736725,"{'1': [0.1, 0.8], '2': [0.6, 0.5], '3': [0.1, 0.3], '4': [0.8, 0.3], '5': [0.2, 0.8]}"
9,142.18540084817164,"{'1': [0.1, 0.6], '2': [0.1, 0.1], '3': [0.1, 0.8], '4': [0.8, 0.7], '5': [0.2, 0.1]}"
