run,rewards,policy
0,219.45482050125364,"{'1': [0.8, 0.1], '2': [0.3, 0.9], '3': [0.0, 0.3], '4': [0.9, 0.7], '5': [0.6, 0.7]}"
1,148.28631631104466,"{'1': [0.9, 0.4], '2': [0.0, 0.9], '3': [0.0, 0.8], '4': [0.8, 0.7], '5': [0.4, 0.7]}"
2,165.3524430588009,"{'1': [0.8, 0.2], '2': [0.1, 0.3], '3': [0.9, 0.7], '4': [0.2, 0.5], '5': [0.4, 0.9]}"
3,197.76570151102138,"{'1': [0.9, 0.3], '2': [0.0, 0.9], '3': [0.8, 0.2], '4': [0.0, 0.9], '5': [0.1, 0.2]}"
4,230.2024441156596,"{'1': [0.8, 0.1], '2': [0.0, 0.2], '3': [0.9, 0.6], '4': [0.2, 0.2], '5': [0.0, 0.9]}"
5,136.40983035371494,"{'1': [0.9, 0.5], '2': [0.8, 0.3], '3': [0.1, 0.7], '4': [0.8, 0.8], '5': [0.6, 0.5]}"
6,165.91242137797565,"{'1': [0.3, 0.5], '2': [0.1, 0.2], '3': [0.4, 0.7], '4': [0.2, 0.6], '5': [0.9, 0.1]}"
7,131.8771971580804,"{'1': [0.3, 0.4], '2': [0.0, 0.0], '3': [0.0, 0.4], '4': [0.9, 0.5], '5': [0.1, 0.3]}"
8,322.07992052584143,"{'1': [0.7, 0.0], '2': [0.0, 0.8], '3': [0.5, 0.0], '4': [0.1, 0.9], '5': [0.9, 0.2]}"
9,151.75280018944827,"{'1': [0.1, 0.8], '2': [0.0, 0.9], '3': [0.3, 0.6], '4': [0.2, 0.8], '5': [0.8, 0.9]}"
